id;nom_concours;date_ouverture;date_cloture;date_concours
1;wireless;2022-10-26;2022-10-27;2022-10-26
2;UIC-Franc;2022-10-26;2022-10-26;2022-10-26
3;a Ouguiya;2022-10-26;2022-10-26;2022-10-27
4;a;2022-10-26;2022-10-27;2022-10-26
5;c SAS payment;2022-10-27;2022-10-27;2022-10-26
6;Delesseux Concrete Movies;2022-10-26;2022-10-27;2022-10-26
7;c b RSS;2022-10-26;2022-10-26;2022-10-26
8;hack Stagiaire invoice;2022-10-27;2022-10-26;2022-10-26
9;groupware;2022-10-27;2022-10-26;2022-10-27
10;Franc;2022-10-27;2022-10-27;2022-10-27
