id;nom_filiere;niveau_etude;programme;autre_niveau_etude;autre_filiere
1;ENVIRONNEMENT;Licence3;../fake-data/blob/hipster.txt;EXE compress bandwidth;cutting-edge b
2;AUTRES;Terminal;../fake-data/blob/hipster.txt;Electronics b payment;Slovénie PNG Namibia
3;HABILLEMENT;CAP1;../fake-data/blob/hipster.txt;mesh calculating;b Trinité-et-Tobago
4;RESTAURATION_ET_HOTELLORIE;Terminal;../fake-data/blob/hipster.txt;program Small;well-modulated calculating Granite
5;PECHE;Autres;../fake-data/blob/hipster.txt;Monsieur-le-Prince best-of-breed;Home de capacitor
6;AGRICULTURE;Premiere;../fake-data/blob/hipster.txt;Graphical;withdrawal
7;MINE_CARRIERES;Autres;../fake-data/blob/hipster.txt;Oro c;Avon target b
8;ARTISANAT;BTS1;../fake-data/blob/hipster.txt;bypass Haïti;Investment
9;SPORT;CAP1;../fake-data/blob/hipster.txt;Franche-Comté;feed compress Assistant
10;AGRICULTURE;BEP2;../fake-data/blob/hipster.txt;Handcrafted Gloves;Wooden Rustic
