id;nom_formation;type_formation;duree;admission;diplome_requis;autre_diplome;secteur;autre_secteur;fiche_formation;fiche_formation_content_type;programmes;nom_concours;date_ouverture;date_cloture;date_concours;libelle_pc;montant_prise_en_charge;detail_pc;nom_diplome;nom_debouche
1;Shirt olive;INITIALE;repurpose;PC;MASTER;Granite Saint-Honoré c;SANTE;de bi-directional Midi-Pyrénées;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;solution Dinar;2022-10-27;2022-10-27;2022-10-26;overriding models copy;39144;../fake-data/blob/hipster.txt;METP;Salad Maldives
2;Investment;INITIALE;c;CONCOURS;BEP;Extended transmitter;SANTE;c Ball Kwanza;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Fantastic;2022-10-26;2022-10-26;2022-10-27;Keyboard;82535;../fake-data/blob/hipster.txt;CPS;front-end
3;b online Botswana;INITIALE;a TCP sensor;PC;LICENCE;Frozen calculate;COUTURE;Car turn-key;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Ouzbékistan invoice Hat;2022-10-27;2022-10-26;2022-10-26;bypassing;42919;../fake-data/blob/hipster.txt;METP;lavender c withdrawal
4;Metal calculate;INITIALE;synthesize up;PC;ATTESTATION;product Handmade cross-platform;COIFFURE;sensor Bourgogne;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;workforce d'Orsel Borders;2022-10-27;2022-10-27;2022-10-26;Plastic bandwidth;26238;../fake-data/blob/hipster.txt;CAEP;multi-tasking payment
5;Aquitaine;INITIALE;repurpose;PC;Autres;conglomeration hacking;COUTURE;redefine sticky Account;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Granite Antigua-et-Barbuda microchip;2022-10-27;2022-10-27;2022-10-27;HTTP withdrawal encryption;58144;../fake-data/blob/hipster.txt;CAP;Avon
6;yellow;INITIALE;violet hack;PC;ATTESTATION;panel Seamless;ELEVAGE_PECHE;Operative Secured;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;multi-byte;2022-10-27;2022-10-27;2022-10-27;Frozen transmitting up;53584;../fake-data/blob/hipster.txt;CAEP;c Administrateur
7;Intelligent;CONTINUE;Fully-configurable compress Buckinghamshire;CONCOURS;DUR;transmitter c;COUTURE;Chips;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Cotton Toys SMS;2022-10-26;2022-10-26;2022-10-26;generating;43761;../fake-data/blob/hipster.txt;TS;Leone Frozen
8;zero Computers;CONTINUE;Checking;PC;Autres;Business-focused lime;GESTION_DE_LA_FAUNE_ET_DE_LA_FLORE;deposit monitor;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Marcadet deposit;2022-10-26;2022-10-27;2022-10-27;b Tasty;92507;../fake-data/blob/hipster.txt;CPS;optimize Delesseux Limousin
9;Cambridgeshire Frozen bypass;INITIALE;Languedoc-Roussillon Computer;CONCOURS;MASTER;Languedoc-Roussillon a Ball;ARTISANAT;Producteur navigate;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;bus Fantastic c;2022-10-27;2022-10-26;2022-10-26;Pierre;88150;../fake-data/blob/hipster.txt;METP;Shoes
10;mobile;INITIALE;grey;CONCOURS;BAC;Berkshire best-of-breed;TOURISME;Saint-Jacques e-enable Table;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;static Antigua-et-Barbuda Madagascar;2022-10-27;2022-10-27;2022-10-26;distributed;13585;../fake-data/blob/hipster.txt;Autres;Realigned users
