id;nom_serie;niveau_etude;programme;autre_serie
1;S3;Premiere;../fake-data/blob/hipster.txt;Practical payment revolutionize
2;STIDD_E;BEP2;../fake-data/blob/hipster.txt;microchip Poitou-Charentes
3;F6;BT2;../fake-data/blob/hipster.txt;synergies Handcrafted up
4;S3;BEP1;../fake-data/blob/hipster.txt;Midi-Pyrénées Granite
5;S5;Doctorat;../fake-data/blob/hipster.txt;Languedoc-Roussillon Picardie
6;STIDD_E;Autres;../fake-data/blob/hipster.txt;plum envisioneer
7;Autres;Terminal;../fake-data/blob/hipster.txt;Dominique Haute-Normandie Shirt
8;STIDD_E;Terminal;../fake-data/blob/hipster.txt;calculating b
9;STIDD_M;Licenece1;../fake-data/blob/hipster.txt;Concrete bypassing
10;Autres;Seconde;../fake-data/blob/hipster.txt;Incredible indexing relationships
