id;nom_session;annee;date_debut_sess;date_fin_sess
1;granular;systems Djibouti Sausages;2022-10-27;2022-10-26
2;Buckinghamshire a a;circuit Limousin e-markets;2022-10-27;2022-10-26
3;pixel Borders impactful;yellow Industrial;2022-10-26;2022-10-26
4;Laffitte Unbranded;Chicken bypassing;2022-10-27;2022-10-27
5;Incredible interface;Saint-Honoré compelling;2022-10-27;2022-10-27
6;Frozen;Metal;2022-10-26;2022-10-26
7;bottom-line Lettonie;platforms;2022-10-27;2022-10-27
8;Steel impactful;programming Agent;2022-10-26;2022-10-27
9;Personal;Coordinateur b;2022-10-26;2022-10-26
10;compressing;Frozen Rial Frozen;2022-10-26;2022-10-27
